Size(N),Experiment Height(h),Log of Size,Sqrt of Size
727,21.9,6.576190978713507,26.79178978717174
728,21.2,6.59222227837458,27.00740639158081
729,21.6,6.588651336522016,26.959228475607382
730,21.5,6.606379879398354,27.199264695943526
731,22.0,6.588100827287083,26.951808844676826
732,22.0,6.597145701886651,27.073972741361768
733,22.0,6.585619778460977,26.91839519733671
734,21.6,6.607460668479512,27.213967002258233
735,21.3,6.613920987045158,27.302014577682723
736,21.8,6.591673732008658,27.0
737,22.5,6.598236511921182,27.08874304946614
738,21.7,6.596053700686136,27.059194370860343
739,21.4,6.612578524768096,27.28369476445593
740,21.6,6.59687281335992,27.07027890510181
741,20.9,6.611503255847289,27.26903005242394
742,21.5,6.606379879398354,27.199264695943526
743,21.9,6.62087288670092,27.3970801363941
744,21.2,6.618738983517219,27.367864366808018
745,21.3,6.608000625296087,27.2213151776324
746,20.7,6.609618748626497,27.243347811897127
747,21.4,6.6293632534374485,27.51363298439521
748,22.0,6.6109651874996285,27.26169473822198
749,21.6,6.616332886914633,27.33495930123182
750,21.6,6.616868075581408,27.342274960214997
751,21.2,6.629099017737668,27.509998182479038
752,21.0,6.632791978938131,27.560841786854045
753,21.0,6.624861723262153,27.451775898837585
754,21.5,6.639091212366118,27.6477847213841
755,21.1,6.615261649533134,27.320322106446696
756,21.0,6.624330796782997,27.44448942866309
757,21.3,6.624330796782997,27.44448942866309
758,21.5,6.627247410278357,27.48454110950372
759,22.1,6.643789733147672,27.712812921102035
760,20.9,6.626452813494395,27.473623714391955
761,21.9,6.633581556555148,27.571724646818886
762,21.8,6.6285703367843025,27.502727137504017
763,21.3,6.626982614831291,27.48090245970827
764,22.1,6.629891515467694,27.520901148036558
765,21.4,6.640137237566098,27.66224864323217
766,21.9,6.635421483477155,27.597101297056543
767,21.6,6.639614361737191,27.655017627909768
768,22.6,6.645870899351497,27.741665415039524
769,21.5,6.6510549441390845,27.81366570590795
770,22.3,6.6495025505543595,27.79208520424475
771,22.1,6.647428936540211,27.763285108214408
772,21.3,6.634896135421995,27.589853207293437
773,22.8,6.644310430894402,27.720028860013837
774,23.2,6.665938462402306,28.021420377989408
775,21.8,6.653636923368497,27.849596047339716
776,22.2,6.662877235521921,27.978563222581677
777,23.1,6.640398572991602,27.66586344215557
778,21.5,6.6697518647609035,28.07489982172688
779,21.6,6.662621709776312,27.974988829309655
780,21.7,6.654410218934806,27.860366113890176
781,21.1,6.661343100728573,27.957110008010485
782,21.8,6.658524392904609,27.91773629791642
783,22.7,6.647428936540211,27.763285108214408
784,22.6,6.654152520183219,27.85677655436824
785,21.9,6.659293919683638,27.92848008753788
786,23.1,6.664664089858231,28.003571200830798
787,21.8,6.67405621372841,28.135386970859315
788,22.3,6.673803528951324,28.131832503411506
789,22.1,6.663388091216301,27.985710639538887
790,22.7,6.663643421231731,27.989283663573815
791,22.0,6.6697518647609035,28.07489982172688
792,22.8,6.680854678790215,28.231188426986208
793,22.6,6.673550780308503,28.128277586798664
794,21.6,6.675318680756335,28.15315257657657
795,21.9,6.686859200208406,28.316073174082593
796,22.9,6.67405621372841,28.135386970859315
797,22.3,6.684111602626245,28.27719929554552
798,21.9,6.6793478979928285,28.209927330640184
799,23.1,6.68311060154166,28.263050083103202
800,21.7,6.682860194629121,28.259511673063283
801,22.0,6.688354713946762,28.337254630609507
802,21.8,6.683611227334344,28.270125574535392
803,22.8,6.688603748937465,28.340783334269364
804,22.6,6.690345259515688,28.365471968574752
805,22.6,6.682860194629121,28.259511673063283
806,22.2,6.68311060154166,28.263050083103202
807,22.3,6.687856457832816,28.330195904723286
808,22.1,6.6895992691789665,28.35489375751565
809,21.3,6.688603748937465,28.340783334269364
810,22.3,6.677838843380498,28.188650198262422
811,22.3,6.698514632836919,28.48157299026864
812,23.4,6.699500340161678,28.495613697550013
813,23.2,6.710766685144779,28.65658737533135
814,22.3,6.698514632836919,28.48157299026864
815,22.4,6.70146884473435,28.52367437761131
816,23.0,6.695056985529466,28.432375911977527
817,21.7,6.690842277418564,28.372521918222215
818,23.2,6.704659422971705,28.569214199904064
819,21.7,6.7071068054952985,28.6041954964652
820,21.8,6.701222993473124,28.520168302448706
821,22.6,6.70857236511277,28.62516375499012
